trade_date,high,low,close,pct_chg
20100810,2925.3,2832.08,2832.64,-2.93
20100809,2922.62,2888.05,2918.24,0.71
20100806,2898.53,2821.03,2897.66,1.64
20100805,2877.31,2833.67,2850.83,-0.89
20100804,2876.6,2818.25,2876.43,0.37
20100803,2929.61,2865.76,2865.97,-1.76
20100802,2922.61,2867.45,2917.28,1.69
20100730,2876.14,2844.68,2868.85,-0.32
20100729,2888.6,2852,2877.98,0.5
20100728,2866.4,2784.16,2863.72,2.43
20100727,2812.21,2785.37,2795.72,-0.55
20100726,2811.95,2775.78,2811.06,0.64
20100723,2806.98,2769.44,2793.08,0.42
20100722,2783.14,2734.07,2781.29,1.24
20100721,2766.21,2733.72,2747.34,0.21
20100720,2746.24,2685.46,2741.5,2.2
20100719,2691.94,2585.01,2682.47,2.54
20100716,2621.33,2573.79,2616.13,0.29
20100715,2680.44,2607.79,2608.52,-1.7
20100714,2684.62,2640.54,2653.61,0.72
20100713,2649.66,2618.34,2634.59,-1.56
20100712,2689.81,2636.65,2676.22,1.1
20100709,2662.16,2557.26,2647.1,2.76
20100708,2602.23,2564.64,2575.92,-0.18
20100707,2580.61,2548.56,2580.48,0.69
20100706,2563.41,2502.93,2562.9,2
20100705,2529.43,2476.49,2512.65,-0.85
20100702,2542.12,2462.2,2534.11,0.32
20100701,2574.1,2524.57,2526.07,-1.44
20100630,2575.82,2546.84,2563.07,-1.12
20100629,2724.23,2591.69,2592.02,-4.59
20100628,2751.46,2710.09,2716.78,-0.71
20100625,2759.45,2715.66,2736.29,-0.77
20100624,2783.51,2739.81,2757.5,-0.04
20100623,2788.22,2734.05,2758.5,-0.91
20100622,2795.32,2766.44,2783.72,0.11
20100621,2784.47,2686.32,2780.66,3.13
20100618,2755.84,2686.61,2696.17,-1.7
20100617,2784.92,2742.64,2742.73,-0.58
20100611,2782.1,2755.95,2758.87,0.32
20100610,2776.26,2746.11,2750.02,-1.15
20100609,2787.83,2687.33,2782.13,3.07
20100608,2720.59,2672.06,2699.34,0.13
20100607,2716.4,2673.34,2695.72,-1.77
20100604,2748.48,2713.1,2744.39,0.3
20100603,2787.51,2735.7,2736.08,-0.78
20100602,2757.91,2700.08,2757.53,0.49
20100601,2782.29,2710.59,2744.16,-1.05
20100531,2857.42,2772.79,2773.26,-2.7
20100528,2893.69,2835.07,2850.3,-0.34
20100527,2866.87,2771.59,2859.98,1.64
20100526,2839.03,2797.63,2813.94,0
20100525,2855.33,2798.02,2813.94,-2.07
20100524,2886.37,2787.75,2873.47,3.78
